axis_id,congenital_cardiac_vs_other_congenital_ccs,diabetes_complication_status_ccs,drug_poisoning_vs_nondrug_poisoning_ccs,eye_inflammation_vs_other_eye_ccs,infectious_etiology_ccs,intracranial_injury_vs_upper_limb_fracture_ccs,joint_dislocation_vs_sprain_ccs,musculoskeletal_infective_vs_nontraumatic_joint_ccs,open_wounds_head_trunk_vs_extremity_ccs,pregnancy_complications_vs_birth_puerperium_ccs
congenital_cardiac_vs_other_congenital_ccs,1.0,0.015203099697828293,0.04394722729921341,-0.02278895676136017,0.12826693058013916,0.05204518139362335,0.0654158890247345,0.05179052799940109,-0.022609591484069824,-0.21419085562229156
diabetes_complication_status_ccs,0.015203099697828293,1.0,0.01627485267817974,0.07835479825735092,0.019042016938328743,0.028571419417858124,0.1123129278421402,0.08381280303001404,-0.0362190417945385,-0.005860820412635803
drug_poisoning_vs_nondrug_poisoning_ccs,0.04394722729921341,0.01627485267817974,1.0000001192092896,0.0895988717675209,0.101606085896492,-0.005429264158010483,0.09808962792158127,0.13297231495380402,-0.002330433577299118,0.02833954244852066
eye_inflammation_vs_other_eye_ccs,-0.02278895676136017,0.07835479825735092,0.0895988717675209,1.0000001192092896,0.03175301104784012,0.009697957895696163,-0.18487271666526794,0.5449628829956055,0.05734073370695114,0.18926528096199036
infectious_etiology_ccs,0.12826693058013916,0.019042016938328743,0.101606085896492,0.03175301104784012,1.0,0.021707572042942047,0.05457421392202377,0.2398199737071991,-0.06626637279987335,0.013873458839952946
intracranial_injury_vs_upper_limb_fracture_ccs,0.05204518139362335,0.028571419417858124,-0.005429264158010483,0.009697957895696163,0.021707572042942047,1.0,0.03525480628013611,0.04937218129634857,0.3071889281272888,0.01828007772564888
joint_dislocation_vs_sprain_ccs,0.0654158890247345,0.1123129278421402,0.09808962792158127,-0.18487271666526794,0.05457421392202377,0.03525480628013611,1.0,-0.014788437634706497,0.057878199964761734,0.005969660356640816
musculoskeletal_infective_vs_nontraumatic_joint_ccs,0.05179052799940109,0.08381280303001404,0.13297231495380402,0.5449628829956055,0.2398199737071991,0.04937218129634857,-0.014788437634706497,1.0,0.05555965006351471,0.215461865067482
open_wounds_head_trunk_vs_extremity_ccs,-0.022609591484069824,-0.0362190417945385,-0.002330433577299118,0.05734073370695114,-0.06626637279987335,0.3071889281272888,0.057878199964761734,0.05555965006351471,1.0,0.017599863931536674
pregnancy_complications_vs_birth_puerperium_ccs,-0.21419085562229156,-0.005860820412635803,0.02833954244852066,0.18926528096199036,0.013873458839952946,0.01828007772564888,0.005969660356640816,0.215461865067482,0.017599863931536674,1.0000001192092896
