axis_id,layer,train_accuracy,test_accuracy,test_ci_low,test_ci_high,random_null_mean,permutation_null_mean,permutation_p,permutation_q_bh,axis_norm,score
congenital_cardiac_vs_other_congenital_ccs,0,0.5,0.5,0.40625,0.59375,0.50081875,0.5000395833333333,0.9866,0.9924378698224853,1.6218434572219849,-0.0008187499999999792
congenital_cardiac_vs_other_congenital_ccs,1,0.5,0.5,0.3958333333333333,0.6041666666666666,0.5008,0.5000604166666666,0.9842,0.9924378698224853,2.841287136077881,-0.0008000000000000229
congenital_cardiac_vs_other_congenital_ccs,2,0.5580357142857143,0.5104166666666666,0.40625,0.6041666666666666,0.5033375,0.4996916666666666,0.0584,0.12567088607594937,5.87224817276001,0.007079166666666636
congenital_cardiac_vs_other_congenital_ccs,3,0.5505952380952381,0.4895833333333333,0.3854166666666667,0.5833333333333334,0.5021625,0.5002604166666667,0.9532,0.9924378698224853,6.3000807762146,-0.012579166666666641
congenital_cardiac_vs_other_congenital_ccs,4,0.5029761904761905,0.5,0.40625,0.6041666666666666,0.5003166666666667,0.4999208333333333,0.8522,0.9528918032786885,10.920919418334961,-0.0003166666666667428
congenital_cardiac_vs_other_congenital_ccs,5,0.5029761904761905,0.5,0.3958333333333333,0.59375,0.5010958333333334,0.5003416666666667,0.9152,0.9924378698224853,14.955429077148438,-0.001095833333333407
congenital_cardiac_vs_other_congenital_ccs,6,0.5342261904761905,0.4791666666666667,0.375,0.5833333333333334,0.50335625,0.4999041666666667,0.9336,0.9924378698224853,14.220447540283203,-0.024189583333333264
congenital_cardiac_vs_other_congenital_ccs,7,0.5193452380952381,0.5520833333333334,0.4479166666666667,0.6458333333333334,0.5029979166666667,0.5001354166666667,0.0276,0.0684963503649635,13.953044891357422,0.04908541666666666
congenital_cardiac_vs_other_congenital_ccs,8,0.5029761904761905,0.5,0.3958333333333333,0.6041666666666666,0.49471875,0.5001083333333334,0.7678,0.9127692307692309,28.74430274963379,0.005281250000000015
congenital_cardiac_vs_other_congenital_ccs,9,0.5223214285714286,0.4583333333333333,0.3645833333333333,0.5520833333333334,0.4915520833333334,0.5005583333333334,0.8918,0.9844545454545455,32.43313217163086,-0.033218750000000075
congenital_cardiac_vs_other_congenital_ccs,10,0.5074404761904762,0.5,0.3958333333333333,0.6041666666666666,0.4988541666666667,0.499875,0.793,0.9265292096219931,36.45909118652344,0.0011458333333332904
congenital_cardiac_vs_other_congenital_ccs,11,0.5193452380952381,0.5,0.3958333333333333,0.59375,0.49485625,0.4999270833333333,0.644,0.8262641509433962,103.32263946533203,0.0051437500000000025
congenital_cardiac_vs_other_congenital_ccs,12,0.5089285714285714,0.5104166666666666,0.40625,0.6145833333333334,0.51224375,0.5,0.3684,0.5197344398340249,95.15492248535156,-0.001827083333333368
congenital_cardiac_vs_other_congenital_ccs,13,0.5178571428571429,0.5,0.40625,0.59375,0.51030625,0.500275,0.7882,0.9245655172413791,84.80885314941406,-0.010306249999999961
congenital_cardiac_vs_other_congenital_ccs,14,0.5193452380952381,0.4479166666666667,0.34375,0.5416666666666666,0.49867291666666663,0.49934166666666663,0.9974,0.9974,60.718318939208984,-0.05075624999999995
congenital_cardiac_vs_other_congenital_ccs,15,0.5208333333333334,0.4583333333333333,0.3541666666666667,0.5520833333333334,0.49716875,0.4992791666666666,0.9692,0.9924378698224853,88.23074340820312,-0.03883541666666668
congenital_cardiac_vs_other_congenital_ccs,16,0.5208333333333334,0.4270833333333333,0.3229166666666667,0.5208333333333334,0.4951791666666666,0.5000666666666667,0.8316,0.9456321070234115,115.32017517089844,-0.0680958333333333
congenital_cardiac_vs_other_congenital_ccs,17,0.53125,0.4583333333333333,0.3645833333333333,0.5520833333333334,0.4998104166666666,0.49966875,0.6924,0.8560283687943262,131.5181121826172,-0.041477083333333276
congenital_cardiac_vs_other_congenital_ccs,18,0.5386904761904762,0.5,0.3958333333333333,0.6041666666666666,0.5023958333333333,0.5000770833333333,0.6008,0.7796641221374045,143.6913604736328,-0.0023958333333332638
congenital_cardiac_vs_other_congenital_ccs,19,0.5461309523809523,0.46875,0.3645833333333333,0.5729166666666666,0.4995458333333334,0.5012,0.8266,0.9431006711409395,155.4547119140625,-0.03079583333333341
congenital_cardiac_vs_other_congenital_ccs,20,0.7053571428571429,0.5,0.3958333333333333,0.59375,0.5055229166666666,0.5007229166666667,0.5584,0.7474645669291339,219.9419708251953,-0.0055229166666666
