axis_id,best_layer,train_accuracy,test_accuracy,test_ci_low,test_ci_high,random_null_mean,permutation_null_mean,permutation_p,permutation_q_bh,axis_norm
congenital_cardiac_vs_other_congenital_ccs,27,0.8571428571428571,0.65625,0.5625,0.75,0.5304875,0.501025,0.0086,0.028666666666666667,2708.46435546875
diabetes_complication_status_ccs,21,0.7619047619047619,0.7777777777777778,0.5555555555555556,0.9444444444444444,0.5093333333333334,0.5008111111111111,0.0002,0.002518518518518519,545.1472778320312
drug_poisoning_vs_nondrug_poisoning_ccs,27,0.7507936507936508,0.7777777777777778,0.6888888888888889,0.8555555555555555,0.5143088888888888,0.5008866666666667,0.0002,0.002518518518518519,2159.953125
eye_inflammation_vs_other_eye_ccs,27,0.85,0.6444444444444445,0.5722222222222222,0.7111111111111111,0.5212533333333332,0.5004077777777778,0.0012,0.008159999999999999,2511.468994140625
infectious_etiology_ccs,33,0.875,0.8141025641025641,0.75,0.8717948717948718,0.5300128205128205,0.4996717948717949,0.0004,0.004,21.729496002197266
intracranial_injury_vs_upper_limb_fracture_ccs,33,0.930952380952381,0.9944444444444445,0.9833333333333333,1.0,0.5456166666666667,0.4993177777777778,0.0002,0.002518518518518519,32.50841522216797
joint_dislocation_vs_sprain_ccs,24,0.7554945054945055,0.6666666666666666,0.5686274509803921,0.7549019607843137,0.5230039215686274,0.49904117647058827,0.0004,0.004,1215.6534423828125
musculoskeletal_infective_vs_nontraumatic_joint_ccs,26,0.8611111111111112,0.6611111111111111,0.5888888888888889,0.7277777777777777,0.5238666666666666,0.5009744444444445,0.0014,0.008981132075471698,1777.01953125
open_wounds_head_trunk_vs_extremity_ccs,33,0.8990147783251231,0.7105263157894737,0.6228070175438597,0.7982456140350878,0.5274140350877192,0.49897192982456146,0.0008,0.006325581395348837,18.39520835876465
pregnancy_complications_vs_birth_puerperium_ccs,28,0.796031746031746,0.6888888888888889,0.6222222222222222,0.7555555555555555,0.5137855555555555,0.5008355555555556,0.0,0.0,1636.1693115234375
