ATC_Code,ATC_Name,ATC_L4_Code,ATC_L4_Name,ATC_L3_Code,ATC_L3_Name,ATC_L2_Code,ATC_L2_Name,ATC_L1_Code,ATC_L1_Name
A01AA01,sodium fluoride,A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AA02,sodium monofluorophosphate,A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AA03,olaflur,A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AA04,stannous fluoride,A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AA30,combinations,A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AA51,"sodium fluoride, combinations",A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB02,hydrogen peroxide,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB03,chlorhexidine,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB04,amphotericin B,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB05,polynoxylin,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB06,domiphen,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB07,oxyquinoline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB08,neomycin,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB09,miconazole,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB10,natamycin,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB11,various,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB12,hexetidine,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB13,tetracycline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB14,benzoxonium chloride,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB15,tibezonium iodide,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB16,mepartricin,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB17,metronidazole,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB18,clotrimazole,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB19,sodium perborate,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB21,chlortetracycline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB22,doxycycline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB23,minocycline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB24,octenidine,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB25,oxytetracycline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB53,chlorhexidine and cetylpyridinium,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AC01,triamcinolone,A01AC,Corticosteroids for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AC02,dexamethasone,A01AC,Corticosteroids for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AC03,hydrocortisone,A01AC,Corticosteroids for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AC04,prednisolone,A01AC,Corticosteroids for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AC54,"prednisolone, combinations",A01AC,Corticosteroids for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD01,epinephrine,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD02,benzydamine,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD05,acetylsalicylic acid,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD06,adrenalone,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD07,amlexanox,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD08,becaplermin,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD11,various,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A02AA01,magnesium carbonate,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AA02,magnesium oxide,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AA03,magnesium peroxide,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AA04,magnesium hydroxide,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AA05,magnesium silicate,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AA10,combinations,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB01,aluminium hydroxide,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB02,algeldrate,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB03,aluminium phosphate,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB04,dihydroxialumini sodium carbonate,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB05,aluminium acetoacetate,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB06,aloglutamol,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB07,aluminium glycinate,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB10,combinations,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AC01,calcium carbonate,A02AC,Calcium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AC02,calcium silicate,A02AC,Calcium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AC10,combinations,A02AC,Calcium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AD01,ordinary salt combinations,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AD02,magaldrate,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AD03,almagate,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AD04,hydrotalcite,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AD05,almasilate,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AF01,magaldrate and antiflatulents,A02AF,Antacids with antiflatulents,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AF02,ordinary salt combinations and antiflatulents,A02AF,Antacids with antiflatulents,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA01,cimetidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA01,cimetidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA02,ranitidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA02,ranitidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA03,famotidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA03,famotidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA04,nizatidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA04,nizatidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA05,niperotidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA06,roxatidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA07,ranitidine bismuth citrate,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA08,lafutidine,A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA51,"cimetidine, combinations",A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BA53,"famotidine, combinations",A02BA,H2-receptor antagonists,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BB01,misoprostol,A02BB,Prostaglandins,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BB02,enprostil,A02BB,Prostaglandins,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC01,omeprazole,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC01,omeprazole,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC02,pantoprazole,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC02,pantoprazole,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC03,lansoprazole,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC04,rabeprazole,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC05,esomeprazole,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC05,esomeprazole,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC06,dexlansoprazole,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC07,dexrabeprazole,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC08,vonoprazan,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC09,tegoprazan,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC51,"omeprazole, combinations",A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC53,"lansoprazole, combinations",A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BC54,"rabeprazole, combinations",A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD01,"omeprazole, amoxicillin and metronidazole",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD02,"lansoprazole, tetracycline and metronidazole",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD03,"lansoprazole, amoxicillin and metronidazole",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD04,"pantoprazole, amoxicillin and clarithromycin",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD05,"omeprazole, amoxicillin and clarithromycin",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD06,"esomeprazole, amoxicillin and clarithromycin",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD07,"lansoprazole, amoxicillin and clarithromycin",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD08,"bismuth subcitrate, tetracycline and metronidazole",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD09,"lansoprazole, clarithromycin and tinidazole",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD10,"lansoprazole, amoxicillin and levofloxacin",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD12,"rabeprazole, amoxicillin and clarithromycin",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD13,"rabeprazole, amoxicillin and metronidazole",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD14,"vonoprazan, amoxicillin and clarithromycin",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD15,"vonoprazan, amoxicillin and metronidazole",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD16,"omeprazole, amoxicillin and rifabutin",A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BD17,vonoprazan and amoxicillin,A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BX01,carbenoxolone,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BX02,sucralfate,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02BX03,pirenzepine,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
